Ricerca nel catalogo - del 21/01/2020 17:27;;;;;;;;;;
Codice;Ean 13;Titolo;Autore;Editore;Prezzo Copertina;Codice Collana;Collana;Argomento;Linea Prodotto;Disponibilità
888483096      ;9788884830968;A PARTIRE DA MERLEAU-PONTY         ;Dalla Vigna Pierre            ;MIMESIS                            ;12,00;7442;MIME ETEROTOPIE                    ;FILOSOFIA                          ;Metà Prezzo             1;7
883471124      ;9788834711248;A PIEDI NUDI A CUORE APERTO        ;Zannoner Paola                ;FANUCCI                            ;12,50;544;FANU TEENS                         ;NARRATIVA ITALIANA                 ;Metà Prezzo             1;129
885402808      ;9788854028081;A PRANZO CON I MOSTRI              ;Baruzzi Agnese                ;WHITE STAR EDIZIONI                ;12,90;3665;WHIT VARIA RAGAZZI                 ;BAMBINI E CARTONATI                ;Metà Prezzo             1;13
888279234      ;9788882792343;A PRANZO CON LA REGINA DEI PRATI   ;Hignard Lionel                ;MOTTA JUNIOR                       ;9,50;7126;MOJU TUTTI A TAVOLA                ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;2
886073458      ;9788860734587;A PROPOSITO DI DIO                 ;Mailer Norman                 ;BALDINI CASTOLDI DALAI EDITORE     ;17,00;2082;BALD I SAGGI                       ;RELIGIONE E ANTROPOLOGIA           ;Metà Prezzo             1;144
881706948      ;9788817069489;A QUALCUNO PIACE CRACCO            ;Cracco Carlo                  ;RIZZOLI                            ;16,90;1239;RIZZ CUCINA                        ;CUCINA E BEVANDE                   ;Metà Prezzo             1;6768
888490657      ;9788884906571;A RISCHIO                          ;Rimington Stella              ;BALDINI CASTOLDI DALAI EDITORE     ;19,00;2081;BALD ROMANZI E RACCONTI            ;GIALLI THRILLER E HORROR           ;Metà Prezzo             1;804
886714042      ;9788867140428;A SCUOLA                           ;aa.vv                         ;EMME                               ;10,90;1844;EMME PRIMILIBRI                    ;BAMBINI E CARTONATI                ;Metà Prezzo             1;266
887548892      ;9788875488925;A SCUOLA                           ;aa.vv                         ;COCCINELLA (LA)                    ;5,90;4949;COCC L'ENCICLOPEDIA DEI PICCOLI    ;BAMBINI E CARTONATI                ;Metà Prezzo             1;26
885560549      ;9788855605496;A SCUOLA CON HELLO KITTY !         ;aa.vv                         ;EDIBIMBI                           ;3,50;7251;EDIB HELLO KITTY E I SUOI AMICI    ;BAMBINI E CARTONATI                ;Metà Prezzo             1;2
887307170      ;9788873071709;A SCUOLA DI ARTE                   ;Manning Mick                  ;EDITORIALE SCIENZA                 ;15,00;7497;EDSC A SCUOLA DI                   ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;3
886154237      ;9788861542372;A SCUOLA DI CUCINA CIOCCOLATO      ;aa.vv                         ;FOOD EDITORE                       ;19,90;4870;FOOD SCUOLA DI CUCINA              ;CUCINA E BEVANDE                   ;Metà Prezzo             1;346
883709175      ;9788837091750;A SCUOLA DI CUCINA DALLE SORELLE LA;Landra Laura e Margherita     ;MONDADORI                          ;14,90;9569;MOND GASTRONOMIA                   ;CUCINA E BEVANDE                   ;Metà Prezzo             1;74
887307558      ;9788873075585;A SCUOLA DI NATURA                 ;Manning Mick                  ;EDITORIALE SCIENZA                 ;12,90;7497;EDSC A SCUOLA DI                   ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;144
882004890      ;9788820048907;A SCUOLA DI POKER + DVD            ;De Toffoli Dario              ;SPERLING & KUPFER                  ;19,90;9318;SPER VARIA                         ;HOBBY E TEMPO LIBERO               ;Metà Prezzo             1;9
886868166      ;9788868681661;A SCUOLA DI PRIMO SOCCORSO 4-5 ANNI;Ederli Federica               ;CURCIO EDITORE                     ;5,90;7818;CURC ALLEGRAMENTE                  ;BAMBINI E CARTONATI                ;Metà Prezzo             1;385
140950601      ;9781409506010;A SPASSO                           ;aa.vv                         ;USBORNE EDIZIONI                   ;6,00;7643;USBO CIAO BEBE'                    ;BAMBINI E CARTONATI                ;Metà Prezzo             1;249
140953782      ;9781409537823;A SPASSO                           ;aa.vv                         ;USBORNE EDIZIONI                   ;5,90;7592;USBO PRIMI LIBRI IN BIANCO E NERO  ;BAMBINI E CARTONATI                ;Metà Prezzo             1;432
887307300      ;9788873073000;A SPASSO NEL BOSCO                 ;Goldie Sonia                  ;EDITORIALE SCIENZA                 ;9,90;7283;EDSC BELLOSAPERE                   ;BAMBINI E CARTONATI                ;Metà Prezzo             1;34
887548811      ;9788875488116;A SPASSO PER LA CAMPAGNA           ;Carabelli Francesca           ;COCCINELLA (LA)                    ;12,90;6237;COCC GLI APPICCICHISSIMI           ;BAMBINI E CARTONATI                ;Metà Prezzo             1;142
887548810      ;9788875488109;A SPASSO PER LA CITTA'             ;Clima Gabriele                ;COCCINELLA (LA)                    ;12,90;6237;COCC GLI APPICCICHISSIMI           ;BAMBINI E CARTONATI                ;Metà Prezzo             1;186
887615862      ;9788876158629;A SUA INSAPUTA                     ;Battaglia Filippo Maria       ;CASTELVECCHI                       ;12,50;7068;CASV RX                            ;POLITICA SOCIETA'E ATTUALITA'      ;Metà Prezzo             1;15
886776033      ;9788867760336;A TAVOLA CON HEMINGWAY             ;Boreth Craig                  ;ULTRA                              ;17,50;7086;ULTR MANUALI                       ;CUCINA E BEVANDE                   ;Metà Prezzo             1;342
880975977      ;9788809759770;A TAVOLA NON SI INVECCHIA          ;aa.vv                         ;GIUNTI EDITORE                     ;14,90;4317;GIUN MANUALI CUCINA                ;CUCINA E BEVANDE                   ;Metà Prezzo             1;14
881640492      ;9788816404922;A TEMPO E LUOGO                    ;Bonicalzi Francesca           ;JACA BOOK                          ;13,43;6914;JACA DI FRONTE E ATTRAVERSO FILOSOF;FILOSOFIA                          ;Metà Prezzo             1;85
885113609      ;9788851136093;A TOR BELLA MONACA NON PIOVE MAI   ;Bocci Marco                   ;BOOKME                             ;12,90;6786;BOOM NARRATIVA                     ;NARRATIVA ITALIANA                 ;Metà Prezzo             1;6606
889902804      ;9788899028046;A TRIESTE SOTTO 7 BANDIERE 1914-195;de Szombathely Gabrio         ;EDIZIONI ITALO SVEVO               ;15,00;6433;SVEV FUORI COLLANA                 ;SAGGISTICA                         ;Metà Prezzo             1;98
